condition,term,phenotype,age,n,n_values,mean,sd,q5,q25,q50,q75,q95
nvp_25w_28w,pregnancy_duration_term,weight,8y,5525,2063,28.5504339766475,4.87996434007439,22,25,28,31,38
nvp_25w_28w,pregnancy_duration_term,bmi,birth,5525,5342,14.1773629739641,1.3015868991863,12.0783856726364,13.3254346062405,14.1607663473553,14.993752603082,16.3399934640523
nvp_25w_28w,pregnancy_duration_term,bmi,6w,5525,3340,15.5857630381487,1.45199030595494,13.265306122449,14.6114512901084,15.5612244897959,16.4984260118816,17.9850009897402
nvp_25w_28w,pregnancy_duration_term,bmi,3m,5525,4638,16.5211325996865,1.52795047851635,14.1797533519948,15.4669839381321,16.4412299483804,17.4840349680699,19.1885496537809
nvp_25w_28w,pregnancy_duration_term,bmi,6m,5525,4707,17.1460605707667,1.52728940928797,14.8294240805699,16.1116735041824,17.0280782140764,18.09851250546,19.8480446533704
nvp_25w_28w,pregnancy_duration_term,bmi,8m,5525,4132,17.2676612450425,1.49189884265558,15.0116754811026,16.2555504469029,17.1900804514095,18.2145632114384,19.8282029478458
nvp_25w_28w,pregnancy_duration_term,bmi,1y,5525,4131,16.9156325076882,1.39396359800802,14.7590463095283,15.9763492746424,16.8474687705457,17.7702131744031,19.2951302562212
nvp_25w_28w,pregnancy_duration_term,bmi,16m,5525,3139,16.6759657146204,1.36458723116557,14.5576319406902,15.7649236914112,16.6132668802658,17.524548644911,18.9169080051386
nvp_25w_28w,pregnancy_duration_term,bmi,2y,5525,3124,16.4089419471767,1.39439242694191,14.2373154767821,15.4801206585357,16.3526223584283,17.2687373043895,18.6485816461287
nvp_25w_28w,pregnancy_duration_term,bmi,3y,5525,3213,16.0797895159912,1.51565730198498,13.7489013990668,15.0978758850479,16,16.9731928388645,18.6419382089164
nvp_25w_28w,pregnancy_duration_term,bmi,5y,5525,2580,15.5932782247211,1.56894498786672,13.2231404958678,14.6075939083011,15.4659884822336,16.509606253196,18.2315707718698
nvp_25w_28w,pregnancy_duration_term,bmi,7y,5525,2597,15.8357367208223,1.93134123296411,13.2161941813068,14.6102710205274,15.5936734239251,16.8021310019807,19.254781306849
nvp_25w_28w,pregnancy_duration_term,bmi,8y,5525,2008,16.2620284017953,2.0749953763005,13.3744738897335,14.7997312962829,16,17.3576671295378,20.1132263226547
nvp_25w_28w,pregnancy_duration_preterm,length,birth,360,304,46.1907894736842,2.80906959364396,41,44,47,48,50
nvp_25w_28w,pregnancy_duration_preterm,length,6w,360,193,52.4730569948187,3.10671307444749,47,50.5,52.5,54.5,57.2
